id,url,name
1CnfdKv-YVaCkjYVqD6xRm6vKH9-KYXN7,https://drive.google.com/file/d/1CnfdKv-YVaCkjYVqD6xRm6vKH9-KYXN7/view?usp=drive_link,prec_7.tif
1ZO9eCVbTZnHC7IcR36pdibeYXCL088Tl,https://drive.google.com/file/d/1ZO9eCVbTZnHC7IcR36pdibeYXCL088Tl/view?usp=drive_link,prec_8.tif
1935wdE2WNQvcAYvR1eWK29YwyQfNKgEp,https://drive.google.com/file/d/1935wdE2WNQvcAYvR1eWK29YwyQfNKgEp/view?usp=drive_link,prec_9.tif
1kOKakXHKCS3W-9BblHGxmw-756DckwmU,https://drive.google.com/file/d/1kOKakXHKCS3W-9BblHGxmw-756DckwmU/view?usp=drive_link,r_horizon.tif
1FhsbsjtOo8GfOeoFY7YXFRNs5e7JEMd1,https://drive.google.com/file/d/1FhsbsjtOo8GfOeoFY7YXFRNs5e7JEMd1/view?usp=drive_link,ref_depth.tif
1FJKXepMub_k67Cia19nboMO6lcT1i2Uw,https://drive.google.com/file/d/1FJKXepMub_k67Cia19nboMO6lcT1i2Uw/view?usp=drive_link,s_awc1.tif
1lqrQ0z9t34s9jDXQJB1vzt5j4ND1LECN,https://drive.google.com/file/d/1lqrQ0z9t34s9jDXQJB1vzt5j4ND1LECN/view?usp=drive_link,s_awc2.tif
1lTHEqXkpDa7ZHA7ZoNBHMnxkbuXxpO0D,https://drive.google.com/file/d/1lTHEqXkpDa7ZHA7ZoNBHMnxkbuXxpO0D/view?usp=drive_link,s_awc3.tif
1rL7lfRmB6ZOZ05_7DlRvkE9Lnt3-dGgI,https://drive.google.com/file/d/1rL7lfRmB6ZOZ05_7DlRvkE9Lnt3-dGgI/view?usp=drive_link,s_awcts.tif
1z5m20WzAaySOXSQHmhoe7CCnuvP13clR,https://drive.google.com/file/d/1z5m20WzAaySOXSQHmhoe7CCnuvP13clR/view?usp=drive_link,s_bs.tif
1C51EwjLZ5uXjyIHHtFqjv3_ZJg0uGtk4,https://drive.google.com/file/d/1C51EwjLZ5uXjyIHHtFqjv3_ZJg0uGtk4/view?usp=drive_link,s_bulk_dens.tif
1R6foXvUXg-beUBrClcStO_oLrlT5ST7O,https://drive.google.com/file/d/1R6foXvUXg-beUBrClcStO_oLrlT5ST7O/view?usp=drive_link,s_caco3.tif
1PwWIlCFn_OiiRAnbUPl1ZAs1XarYtvPi,https://drive.google.com/file/d/1PwWIlCFn_OiiRAnbUPl1ZAs1XarYtvPi/view?usp=drive_link,s_caso4.tif
1piG-PBTMHBCnnAAa9F-dRiURQ8sbhXiP,https://drive.google.com/file/d/1piG-PBTMHBCnnAAa9F-dRiURQ8sbhXiP/view?usp=drive_link,s_cec_clay.tif
171lvMcH3KsDUjQtcoshqviLirENLiHeD,https://drive.google.com/file/d/171lvMcH3KsDUjQtcoshqviLirENLiHeD/view?usp=drive_link,s_cec_soil.tif
1FkWiJzrDX5SgQEESxwTeyvsNgnwWpIoQ,https://drive.google.com/file/d/1FkWiJzrDX5SgQEESxwTeyvsNgnwWpIoQ/view?usp=drive_link,s_cecsol.tif
1EHyYvwWlDJNE7W3FaObILJIae_pLF_sl,https://drive.google.com/file/d/1EHyYvwWlDJNE7W3FaObILJIae_pLF_sl/view?usp=drive_link,s_clay.tif
